"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
11,11,36,45,70,71,87,88,117,126,130,167,169,173,184,232,303,331,341,413,734
7,12,29,30,30,50,67,85,106,109,132,177,198,199,246,273,290,307,308,525,659
5,23,32,46,48,58,64,77,94,98,117,128,138,159,185,280,291,299,307,579,811
15,38,49,52,58,83,91,93,128,129,154,177,198,208,208,220,260,275,321,478,604
6,14,25,28,43,47,57,66,85,114,189,205,223,246,257,262,263,291,447,482,489
6,17,20,21,56,71,87,108,126,131,165,203,236,268,269,274,306,325,357,395,398
5,9,9,38,44,61,74,112,117,123,127,133,149,149,219,223,303,330,459,475,680
14,26,30,47,53,96,105,124,150,151,163,180,182,199,207,225,299,309,380,387,512
3,5,6,6,48,50,52,53,56,108,147,147,158,178,230,272,324,446,453,521,576
5,59,65,68,69,79,92,123,129,155,193,205,216,231,231,242,253,281,307,393,443
15,18,35,36,37,41,52,86,90,110,165,166,175,193,202,217,240,441,453,523,544
18,32,34,35,49,72,84,85,111,117,128,157,165,193,215,266,290,314,380,495,599
32,34,44,48,79,112,116,120,131,141,159,167,180,186,229,274,278,337,376,397,399
8,12,12,29,44,45,58,62,63,84,95,124,151,160,239,311,347,394,466,467,668
11,16,16,25,41,52,79,83,91,98,99,101,116,129,157,273,301,479,500,568,604
4,21,36,39,46,57,88,101,106,112,114,127,140,141,161,163,180,201,338,398,1266
6,21,46,46,59,60,68,84,108,111,130,148,168,182,183,183,249,249,494,577,667
12,37,40,43,51,60,62,64,64,65,93,190,244,261,283,315,330,356,372,429,468
52,54,54,61,70,71,90,92,150,157,157,159,162,192,204,228,228,276,359,370,653
3,8,24,27,33,47,100,100,111,123,168,169,180,200,220,262,318,320,326,456,644
1,8,44,53,74,90,90,102,102,125,125,172,220,225,269,270,278,283,305,365,638
5,15,16,20,25,31,44,73,99,104,118,120,152,176,182,275,344,398,431,541,670
13,13,14,23,30,39,67,77,105,144,160,183,199,224,234,239,304,326,366,539,540
33,38,43,96,105,105,128,137,139,140,161,162,181,186,187,213,235,263,354,420,513
15,16,16,16,36,47,56,67,69,69,96,98,128,149,188,198,362,389,544,626,654
3,5,41,45,52,63,71,99,117,129,131,131,215,274,284,287,313,332,343,381,523
1,6,7,18,32,58,66,74,75,77,77,134,151,151,157,236,238,314,372,426,1169
1,21,24,37,49,49,53,53,97,121,130,144,197,200,214,222,241,285,354,481,866
5,38,46,52,88,97,98,107,118,122,126,136,145,188,199,213,264,341,361,361,734
5,5,7,17,30,34,36,46,48,60,110,111,134,150,278,298,318,388,459,493,812
7,12,14,25,52,55,64,75,89,108,108,114,181,182,184,197,245,261,501,670,695
20,25,62,67,82,85,146,158,162,163,188,208,219,223,228,231,241,241,325,382,383
6,13,55,57,69,73,88,105,110,126,133,163,168,168,226,226,272,299,338,418,726
10,19,19,35,52,62,108,110,137,152,166,190,194,198,206,219,238,254,466,472,532
